Age,Age_Group,Gender,Religion,Physical_Condition,Mental_Condition,Banned_Categories,Allowed_Categories
13,adolescents,female,Christianity,intellectual disability,healthy,"['Harassment', 'Propaganda', 'Sexuality']","['Hate', 'Self-Harm', 'Shocking', 'Violence']"
53,middle-aged,female,Islam,healthy,war,"['Propaganda', 'Sexuality', 'Violence']","['Harassment', 'Hate', 'Self-Harm', 'Shocking']"
26,young adults,male,Buddhism,hearing impairment,natural disasters,"['Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Self-Harm']"
15,adolescents,female,Christianity,intellectual disability,anxiety,"['Harassment', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Hate', 'Violence']"
25,young adults,male,Islam,intellectual disability,healthy,"['Harassment', 'Propaganda', 'Sexuality']","['Hate', 'Self-Harm', 'Shocking', 'Violence']"
57,middle-aged,male,Christianity,healthy,healthy,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']"
8,children,female,Islam,visual impairment,natural disasters,"['Hate', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']",['Harassment']
67,young elderly,female,Christianity,visual impairment,major accidents,"['Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Self-Harm']"
11,children,female,Buddhism,visual impairment,healthy,"['Hate', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']",['Harassment']
9,children,male,Christianity,hearing impairment,natural disasters,"['Hate', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']",['Harassment']
30,young adults,male,Christianity,intellectual disability,depression,"['Harassment', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Hate', 'Violence']"
36,middle-aged,male,Christianity,visual impairment,war,"['Propaganda', 'Sexuality', 'Violence']","['Harassment', 'Hate', 'Self-Harm', 'Shocking']"
29,young adults,male,Islam,healthy,sexual assault,"['Harassment', 'Propaganda', 'Sexuality', 'Violence']","['Hate', 'Self-Harm', 'Shocking']"
47,middle-aged,male,Islam,healthy,healthy,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']"
63,young elderly,female,Buddhism,healthy,war,"['Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Self-Harm']"
47,middle-aged,male,Christianity,visual impairment,depression,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']"
85,elderly,female,Christianity,healthy,healthy,"['Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Self-Harm']"
17,adolescents,female,Buddhism,hearing impairment,sexual assault,"['Harassment', 'Propaganda', 'Sexuality', 'Violence']","['Hate', 'Self-Harm', 'Shocking']"
40,middle-aged,female,Buddhism,intellectual disability,natural disasters,"['Harassment', 'Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Hate', 'Self-Harm']"
41,middle-aged,female,Buddhism,hearing impairment,healthy,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']"
25,young adults,female,Christianity,intellectual disability,healthy,"['Harassment', 'Propaganda', 'Sexuality']","['Hate', 'Self-Harm', 'Shocking', 'Violence']"
42,middle-aged,male,Buddhism,visual impairment,anxiety,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']"
10,children,male,Buddhism,healthy,healthy,"['Hate', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']",['Harassment']
54,middle-aged,female,Islam,healthy,war,"['Propaganda', 'Sexuality', 'Violence']","['Harassment', 'Hate', 'Self-Harm', 'Shocking']"
25,young adults,female,None,intellectual disability,natural disasters,"['Harassment', 'Propaganda', 'Shocking', 'Violence']","['Hate', 'Self-Harm', 'Sexuality']"
60,young elderly,male,None,healthy,anxiety,"['Self-Harm', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Propaganda', 'Sexuality']"
68,young elderly,male,Christianity,healthy,healthy,"['Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Self-Harm']"
44,middle-aged,male,None,hearing impairment,healthy,[],"['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']"
18,adolescents,male,Christianity,hearing impairment,healthy,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']"
30,young adults,male,Christianity,intellectual disability,healthy,"['Harassment', 'Propaganda', 'Sexuality']","['Hate', 'Self-Harm', 'Shocking', 'Violence']"
19,adolescents,male,None,intellectual disability,anxiety,"['Harassment', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Hate', 'Violence']"
71,young elderly,female,None,healthy,healthy,"['Shocking', 'Violence']","['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Sexuality']"
16,adolescents,female,None,hearing impairment,healthy,['Sexuality'],"['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Shocking', 'Violence']"
19,adolescents,female,Christianity,healthy,sexual assault,"['Harassment', 'Propaganda', 'Sexuality', 'Violence']","['Hate', 'Self-Harm', 'Shocking']"
15,adolescents,female,Islam,visual impairment,healthy,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']"
9,children,female,None,healthy,anxiety,"['Hate', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Propaganda']"
77,elderly,female,None,healthy,natural disasters,"['Shocking', 'Violence']","['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Sexuality']"
18,adolescents,male,None,hearing impairment,healthy,['Sexuality'],"['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Shocking', 'Violence']"
13,adolescents,female,Islam,healthy,natural disasters,"['Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Self-Harm']"
8,children,male,None,visual impairment,healthy,"['Hate', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Propaganda']"
14,adolescents,female,Christianity,visual impairment,healthy,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']"
32,young adults,female,Christianity,healthy,natural disasters,"['Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Self-Harm']"
59,middle-aged,female,Buddhism,healthy,sexual assault,"['Harassment', 'Propaganda', 'Sexuality', 'Violence']","['Hate', 'Self-Harm', 'Shocking']"
65,young elderly,male,Islam,healthy,healthy,"['Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Self-Harm']"
10,children,male,Buddhism,hearing impairment,anxiety,"['Hate', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']",['Harassment']
46,middle-aged,male,None,healthy,healthy,[],"['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']"
60,young elderly,female,None,intellectual disability,healthy,"['Harassment', 'Propaganda', 'Shocking', 'Violence']","['Hate', 'Self-Harm', 'Sexuality']"
71,young elderly,female,Christianity,healthy,healthy,"['Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Self-Harm']"
19,adolescents,female,Buddhism,healthy,natural disasters,"['Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Self-Harm']"
10,children,male,Christianity,healthy,depression,"['Hate', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']",['Harassment']
23,young adults,female,Christianity,hearing impairment,major accidents,"['Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Self-Harm']"
11,children,female,None,hearing impairment,healthy,"['Hate', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Propaganda']"
50,middle-aged,male,Islam,healthy,healthy,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']"
28,young adults,female,Buddhism,hearing impairment,depression,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']"
53,middle-aged,male,Islam,visual impairment,healthy,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']"
14,adolescents,male,Christianity,visual impairment,healthy,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']"
2,infants & toddlers,male,None,hearing impairment,healthy,"['Hate', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Propaganda']"
68,young elderly,male,Islam,visual impairment,depression,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate']"
32,young adults,female,Islam,intellectual disability,healthy,"['Harassment', 'Propaganda', 'Sexuality']","['Hate', 'Self-Harm', 'Shocking', 'Violence']"
19,adolescents,male,Christianity,hearing impairment,healthy,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']"
14,adolescents,male,None,visual impairment,healthy,['Sexuality'],"['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Shocking', 'Violence']"
22,young adults,female,Islam,intellectual disability,healthy,"['Harassment', 'Propaganda', 'Sexuality']","['Hate', 'Self-Harm', 'Shocking', 'Violence']"
43,middle-aged,male,Christianity,intellectual disability,war,"['Harassment', 'Propaganda', 'Sexuality', 'Violence']","['Hate', 'Self-Harm', 'Shocking']"
28,young adults,male,Christianity,visual impairment,major accidents,"['Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Self-Harm']"
64,young elderly,male,Islam,visual impairment,anxiety,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate']"
19,adolescents,male,Christianity,intellectual disability,depression,"['Harassment', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Hate', 'Violence']"
13,adolescents,male,Islam,intellectual disability,depression,"['Harassment', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Hate', 'Violence']"
14,adolescents,male,Christianity,visual impairment,depression,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']"
17,adolescents,male,Christianity,healthy,sexual assault,"['Harassment', 'Propaganda', 'Sexuality', 'Violence']","['Hate', 'Self-Harm', 'Shocking']"
59,middle-aged,female,Islam,healthy,war,"['Propaganda', 'Sexuality', 'Violence']","['Harassment', 'Hate', 'Self-Harm', 'Shocking']"
32,young adults,male,None,visual impairment,healthy,[],"['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']"
79,elderly,male,None,visual impairment,major accidents,"['Shocking', 'Violence']","['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Sexuality']"
35,middle-aged,male,Islam,intellectual disability,healthy,"['Harassment', 'Propaganda', 'Sexuality']","['Hate', 'Self-Harm', 'Shocking', 'Violence']"
8,children,male,None,hearing impairment,major accidents,"['Hate', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Propaganda']"
79,elderly,male,Christianity,intellectual disability,healthy,"['Harassment', 'Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Hate', 'Self-Harm']"
8,children,male,None,hearing impairment,depression,"['Hate', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Propaganda']"
40,middle-aged,male,Christianity,visual impairment,healthy,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']"
29,young adults,female,Buddhism,healthy,sexual assault,"['Harassment', 'Propaganda', 'Sexuality', 'Violence']","['Hate', 'Self-Harm', 'Shocking']"
77,elderly,male,None,hearing impairment,healthy,"['Shocking', 'Violence']","['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Sexuality']"
23,young adults,female,Christianity,healthy,healthy,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']"
23,young adults,male,Buddhism,visual impairment,healthy,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']"
72,young elderly,male,Christianity,healthy,war,"['Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Self-Harm']"
47,middle-aged,male,None,healthy,healthy,[],"['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']"
15,adolescents,female,Islam,intellectual disability,healthy,"['Harassment', 'Propaganda', 'Sexuality']","['Hate', 'Self-Harm', 'Shocking', 'Violence']"
31,young adults,female,Christianity,healthy,sexual assault,"['Harassment', 'Propaganda', 'Sexuality', 'Violence']","['Hate', 'Self-Harm', 'Shocking']"
14,adolescents,female,Islam,healthy,depression,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']"
15,adolescents,male,None,hearing impairment,healthy,['Sexuality'],"['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Shocking', 'Violence']"
8,children,male,None,healthy,healthy,"['Hate', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Propaganda']"
51,middle-aged,female,None,hearing impairment,healthy,[],"['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']"
5,children,male,None,healthy,depression,"['Hate', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Propaganda']"
79,elderly,male,None,healthy,healthy,"['Shocking', 'Violence']","['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Sexuality']"
18,adolescents,female,Christianity,hearing impairment,anxiety,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']"
15,adolescents,male,Buddhism,intellectual disability,sexual assault,"['Harassment', 'Propaganda', 'Sexuality', 'Violence']","['Hate', 'Self-Harm', 'Shocking']"
10,children,female,None,hearing impairment,major accidents,"['Hate', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Propaganda']"
53,middle-aged,male,Christianity,visual impairment,healthy,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']"
11,children,male,Islam,intellectual disability,anxiety,"['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']",[]
37,middle-aged,female,Christianity,healthy,sexual assault,"['Harassment', 'Propaganda', 'Sexuality', 'Violence']","['Hate', 'Self-Harm', 'Shocking']"
14,adolescents,male,Islam,hearing impairment,anxiety,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']"
59,middle-aged,male,Buddhism,visual impairment,healthy,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']"
15,adolescents,female,Christianity,hearing impairment,sexual assault,"['Harassment', 'Propaganda', 'Sexuality', 'Violence']","['Hate', 'Self-Harm', 'Shocking']"
24,young adults,female,None,healthy,depression,"['Self-Harm', 'Shocking']","['Harassment', 'Hate', 'Propaganda', 'Sexuality', 'Violence']"
72,young elderly,female,None,hearing impairment,healthy,"['Shocking', 'Violence']","['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Sexuality']"
13,adolescents,female,Islam,healthy,anxiety,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']"
56,middle-aged,male,Islam,healthy,major accidents,"['Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Self-Harm']"
69,young elderly,male,Christianity,visual impairment,major accidents,"['Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Self-Harm']"
12,children,male,Buddhism,visual impairment,healthy,"['Hate', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']",['Harassment']
14,adolescents,female,Buddhism,intellectual disability,anxiety,"['Harassment', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Hate', 'Violence']"
82,elderly,female,None,visual impairment,natural disasters,"['Shocking', 'Violence']","['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Sexuality']"
15,adolescents,female,Islam,visual impairment,depression,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']"
36,middle-aged,male,Buddhism,hearing impairment,depression,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']"
19,adolescents,female,Islam,hearing impairment,depression,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']"
20,young adults,female,Islam,healthy,depression,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']"
19,adolescents,male,Buddhism,visual impairment,natural disasters,"['Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Self-Harm']"
28,young adults,female,Islam,healthy,war,"['Propaganda', 'Sexuality', 'Violence']","['Harassment', 'Hate', 'Self-Harm', 'Shocking']"
28,young adults,female,Buddhism,healthy,healthy,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']"
12,children,female,Christianity,healthy,natural disasters,"['Hate', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']",['Harassment']
28,young adults,male,Buddhism,intellectual disability,healthy,"['Harassment', 'Propaganda', 'Sexuality']","['Hate', 'Self-Harm', 'Shocking', 'Violence']"
46,middle-aged,male,None,hearing impairment,healthy,[],"['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']"
82,elderly,male,None,healthy,healthy,"['Shocking', 'Violence']","['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Sexuality']"
11,children,male,Christianity,visual impairment,depression,"['Hate', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']",['Harassment']
28,young adults,male,Christianity,healthy,healthy,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']"
60,young elderly,female,Buddhism,hearing impairment,sexual assault,"['Harassment', 'Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Hate', 'Self-Harm']"
60,young elderly,female,Islam,visual impairment,depression,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate']"
38,middle-aged,female,Islam,intellectual disability,healthy,"['Harassment', 'Propaganda', 'Sexuality']","['Hate', 'Self-Harm', 'Shocking', 'Violence']"
12,children,female,Buddhism,visual impairment,major accidents,"['Hate', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']",['Harassment']
27,young adults,female,None,intellectual disability,depression,"['Harassment', 'Propaganda', 'Self-Harm', 'Shocking']","['Hate', 'Sexuality', 'Violence']"
92,long-lived elderly,male,None,visual impairment,depression,"['Self-Harm', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Propaganda', 'Sexuality']"
26,young adults,male,Christianity,intellectual disability,healthy,"['Harassment', 'Propaganda', 'Sexuality']","['Hate', 'Self-Harm', 'Shocking', 'Violence']"
63,young elderly,female,None,healthy,sexual assault,"['Harassment', 'Sexuality', 'Shocking', 'Violence']","['Hate', 'Propaganda', 'Self-Harm']"
35,middle-aged,male,None,healthy,healthy,[],"['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']"
40,middle-aged,male,Islam,intellectual disability,depression,"['Harassment', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Hate', 'Violence']"
9,children,male,Christianity,intellectual disability,healthy,"['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']",[]
3,infants & toddlers,female,None,healthy,healthy,"['Hate', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Propaganda']"
13,adolescents,male,Islam,healthy,anxiety,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']"
11,children,male,None,intellectual disability,anxiety,"['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']",[]
67,young elderly,female,Islam,visual impairment,major accidents,"['Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Self-Harm']"
12,children,male,Christianity,visual impairment,healthy,"['Hate', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']",['Harassment']
26,young adults,male,Christianity,intellectual disability,major accidents,"['Harassment', 'Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Hate', 'Self-Harm']"
82,elderly,male,None,intellectual disability,anxiety,"['Harassment', 'Propaganda', 'Self-Harm', 'Shocking', 'Violence']","['Hate', 'Sexuality']"
73,young elderly,female,Christianity,healthy,anxiety,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate']"
43,middle-aged,male,Christianity,visual impairment,healthy,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']"
80,elderly,male,Christianity,hearing impairment,natural disasters,"['Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Self-Harm']"
15,adolescents,female,Buddhism,hearing impairment,healthy,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']"
73,young elderly,male,None,intellectual disability,healthy,"['Harassment', 'Propaganda', 'Shocking', 'Violence']","['Hate', 'Self-Harm', 'Sexuality']"
22,young adults,female,Christianity,healthy,healthy,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']"
40,middle-aged,female,None,healthy,healthy,[],"['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']"
17,adolescents,female,Islam,healthy,healthy,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']"
19,adolescents,male,Buddhism,hearing impairment,healthy,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']"
56,middle-aged,male,Islam,visual impairment,healthy,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']"
49,middle-aged,female,Islam,healthy,depression,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']"
69,young elderly,female,Buddhism,healthy,major accidents,"['Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Self-Harm']"
18,adolescents,male,None,healthy,sexual assault,"['Harassment', 'Sexuality', 'Violence']","['Hate', 'Propaganda', 'Self-Harm', 'Shocking']"
12,children,male,Buddhism,healthy,depression,"['Hate', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']",['Harassment']
54,middle-aged,female,Islam,healthy,depression,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']"
12,children,male,None,healthy,healthy,"['Hate', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Propaganda']"
26,young adults,female,Christianity,hearing impairment,depression,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']"
14,adolescents,male,Islam,hearing impairment,anxiety,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']"
20,young adults,male,None,healthy,natural disasters,"['Shocking', 'Violence']","['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Sexuality']"
26,young adults,female,Islam,healthy,sexual assault,"['Harassment', 'Propaganda', 'Sexuality', 'Violence']","['Hate', 'Self-Harm', 'Shocking']"
66,young elderly,female,None,intellectual disability,major accidents,"['Harassment', 'Propaganda', 'Shocking', 'Violence']","['Hate', 'Self-Harm', 'Sexuality']"
46,middle-aged,female,None,intellectual disability,anxiety,"['Harassment', 'Propaganda', 'Self-Harm', 'Shocking']","['Hate', 'Sexuality', 'Violence']"
16,adolescents,male,Christianity,hearing impairment,depression,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']"
74,young elderly,male,Islam,hearing impairment,healthy,"['Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Self-Harm']"
17,adolescents,female,Islam,visual impairment,depression,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']"
35,middle-aged,female,Islam,healthy,healthy,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']"
26,young adults,male,Islam,intellectual disability,healthy,"['Harassment', 'Propaganda', 'Sexuality']","['Hate', 'Self-Harm', 'Shocking', 'Violence']"
28,young adults,female,Christianity,healthy,healthy,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']"
42,middle-aged,male,None,healthy,major accidents,"['Shocking', 'Violence']","['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Sexuality']"
71,young elderly,male,Buddhism,visual impairment,war,"['Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Self-Harm']"
15,adolescents,male,Islam,intellectual disability,sexual assault,"['Harassment', 'Propaganda', 'Sexuality', 'Violence']","['Hate', 'Self-Harm', 'Shocking']"
