User_ID,Cluster_ID,tsne_x,tsne_y,pca_x,pca_y,Banned_Categories,Allowed_Categories,Age,Age_Group,Gender,Religion,Mental_Condition,Physical_Condition
0000011,3,-27.729568,-0.3445891,-19.1843,3.8690739,['Sexuality'],"['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Shocking', 'Violence']",19,adolescents,male,None,healthy,healthy
0000012,2,17.76831,-2.1827435,29.768854,1.1210365,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']",51,middle-aged,female,Buddhism,anxiety,hearing impairment
0000013,3,-20.728722,22.015106,-24.165865,32.90386,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']",13,adolescents,male,Islam,anxiety,healthy
0000014,3,-6.8857727,14.168346,-27.6167,33.092083,"['Harassment', 'Propaganda', 'Sexuality']","['Hate', 'Self-Harm', 'Shocking', 'Violence']",13,adolescents,female,Christianity,healthy,intellectual disability
0000015,2,9.3333435,36.770054,33.44697,19.788984,"['Propaganda', 'Sexuality', 'Violence']","['Harassment', 'Hate', 'Self-Harm', 'Shocking']",53,middle-aged,female,Islam,war,healthy
0000016,2,39.506657,9.166122,22.949448,1.22127,"['Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Self-Harm']",26,young adults,male,Buddhism,natural disasters,hearing impairment
0000017,3,-5.302198,12.969137,-21.159761,31.96003,"['Harassment', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Hate', 'Violence']",15,adolescents,female,Christianity,anxiety,intellectual disability
0000018,2,17.632046,35.26274,18.33753,20.96692,"['Harassment', 'Propaganda', 'Sexuality']","['Hate', 'Self-Harm', 'Shocking', 'Violence']",25,young adults,male,Islam,healthy,intellectual disability
0000019,2,33.06414,22.643997,26.609911,-7.618605,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']",57,middle-aged,male,Christianity,healthy,healthy
0000020,4,-58.795467,3.6234407,-41.78111,8.195879,"['Hate', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']",['Harassment'],8,children,female,Islam,natural disasters,visual impairment
0000021,1,26.389574,-11.142521,25.025291,-15.976974,"['Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Self-Harm']",67,young elderly,female,Christianity,major accidents,visual impairment
0000022,4,-54.125835,-1.7061805,-46.832447,6.912843,"['Hate', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']",['Harassment'],11,children,female,Buddhism,healthy,visual impairment
0000023,4,-65.94039,-0.5659196,-51.47442,-15.032649,"['Hate', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']",['Harassment'],9,children,male,Christianity,natural disasters,hearing impairment
0000024,3,19.867548,20.383673,-17.48814,-2.1849997,"['Harassment', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Hate', 'Violence']",30,young adults,male,Christianity,depression,intellectual disability
0000025,2,28.994516,17.122108,32.00846,-2.9473562,"['Propaganda', 'Sexuality', 'Violence']","['Harassment', 'Hate', 'Self-Harm', 'Shocking']",36,middle-aged,male,Christianity,war,visual impairment
0000026,2,2.9614027,-0.68754363,26.818415,23.664682,"['Harassment', 'Propaganda', 'Sexuality', 'Violence']","['Hate', 'Self-Harm', 'Shocking']",29,young adults,male,Islam,sexual assault,healthy
0000027,2,20.563997,32.21206,29.713259,9.026358,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']",47,middle-aged,male,Islam,healthy,healthy
0000028,1,22.589546,-7.078948,29.083288,-7.3407063,"['Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Self-Harm']",63,young elderly,female,Buddhism,war,healthy
0000029,2,29.673573,12.645101,31.14681,-6.252234,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']",47,middle-aged,male,Christianity,depression,visual impairment
0000030,1,30.041248,-9.6125345,20.45634,-22.245216,"['Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Self-Harm']",85,elderly,female,Christianity,healthy,healthy
0000031,3,-7.37248,1.6289401,-2.5766644,31.312202,"['Harassment', 'Propaganda', 'Sexuality', 'Violence']","['Hate', 'Self-Harm', 'Shocking']",17,adolescents,female,Buddhism,sexual assault,hearing impairment
0000032,2,17.718596,-4.94903,11.422779,-4.680918,"['Harassment', 'Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Hate', 'Self-Harm']",40,middle-aged,female,Buddhism,natural disasters,intellectual disability
0000033,2,18.328045,-0.3557555,28.143972,3.71841,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']",41,middle-aged,female,Buddhism,healthy,hearing impairment
0000034,2,15.556856,7.7818975,15.049318,21.860674,"['Harassment', 'Propaganda', 'Sexuality']","['Hate', 'Self-Harm', 'Shocking', 'Violence']",25,young adults,female,Christianity,healthy,intellectual disability
0000035,2,39.707355,12.399681,31.410862,-6.5939913,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']",42,middle-aged,male,Buddhism,anxiety,visual impairment
0000036,4,-70.48466,-1.0198706,-51.481445,-17.197138,"['Hate', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']",['Harassment'],10,children,male,Buddhism,healthy,healthy
0000037,2,9.248913,36.867947,33.33983,19.53724,"['Propaganda', 'Sexuality', 'Violence']","['Harassment', 'Hate', 'Self-Harm', 'Shocking']",54,middle-aged,female,Islam,war,healthy
0000038,0,-3.2536373,-22.030588,9.735773,2.1887822,"['Harassment', 'Propaganda', 'Shocking', 'Violence']","['Hate', 'Self-Harm', 'Sexuality']",25,young adults,female,None,natural disasters,intellectual disability
0000039,1,14.027866,-36.155254,-1.9923937,-43.525055,"['Self-Harm', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Propaganda', 'Sexuality']",60,young elderly,male,None,anxiety,healthy
0000040,1,34.97374,-6.760868,23.730858,-22.307981,"['Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Self-Harm']",68,young elderly,male,Christianity,healthy,healthy
0000041,0,-4.563443,-41.473095,18.041636,-28.458889,[],"['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']",44,middle-aged,male,None,healthy,hearing impairment
0000042,3,-27.034624,12.659723,-8.553994,16.09594,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']",18,adolescents,male,Christianity,healthy,hearing impairment
0000043,4,19.278969,20.652605,-24.835806,-3.4363842,"['Harassment', 'Propaganda', 'Sexuality']","['Hate', 'Self-Harm', 'Shocking', 'Violence']",30,young adults,male,Christianity,healthy,intellectual disability
0000044,3,-23.996588,-3.3393512,-14.470357,1.5612843,"['Harassment', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Hate', 'Violence']",19,adolescents,male,None,anxiety,intellectual disability
0000045,1,19.793562,-29.549534,12.227111,-30.94563,"['Shocking', 'Violence']","['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Sexuality']",71,young elderly,female,None,healthy,healthy
0000046,3,-18.828075,-4.0011997,-28.000624,15.777095,['Sexuality'],"['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Shocking', 'Violence']",16,adolescents,female,None,healthy,hearing impairment
0000047,3,-6.178819,0.78040236,1.8591126,33.891964,"['Harassment', 'Propaganda', 'Sexuality', 'Violence']","['Hate', 'Self-Harm', 'Shocking']",19,adolescents,female,Christianity,sexual assault,healthy
0000048,3,-8.947039,25.499111,-17.390627,43.84739,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']",15,adolescents,female,Islam,healthy,visual impairment
0000049,4,-59.210777,-11.147385,-58.47241,-13.443024,"['Hate', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Propaganda']",9,children,female,None,anxiety,healthy
0000050,1,19.008638,-26.560528,16.139328,-39.955505,"['Shocking', 'Violence']","['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Sexuality']",77,elderly,female,None,natural disasters,healthy
0000051,3,-27.171484,-3.377193,-19.78613,-2.6530845,['Sexuality'],"['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Shocking', 'Violence']",18,adolescents,male,None,healthy,hearing impairment
0000052,3,-9.972369,27.496792,-23.028822,41.60498,"['Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Self-Harm']",13,adolescents,female,Islam,natural disasters,healthy
0000053,4,-66.82306,-9.241769,-60.01023,-31.830753,"['Hate', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Propaganda']",8,children,male,None,healthy,visual impairment
0000054,3,-5.497183,16.3466,-22.772596,31.78273,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']",14,adolescents,female,Christianity,healthy,visual impairment
0000055,2,20.336853,7.4175715,22.64973,13.7618685,"['Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Self-Harm']",32,young adults,female,Christianity,natural disasters,healthy
0000056,2,6.17039,-5.8226113,32.286247,8.792583,"['Harassment', 'Propaganda', 'Sexuality', 'Violence']","['Hate', 'Self-Harm', 'Shocking']",59,middle-aged,female,Buddhism,sexual assault,healthy
0000057,2,37.357414,-2.9013083,27.216648,-7.9163294,"['Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Self-Harm']",65,young elderly,male,Islam,healthy,healthy
0000058,4,-70.14715,0.23170644,-44.95132,-19.682137,"['Hate', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']",['Harassment'],10,children,male,Buddhism,anxiety,hearing impairment
0000059,0,-5.831385,-44.875317,15.913343,-22.440878,[],"['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']",46,middle-aged,male,None,healthy,healthy
0000060,1,16.198042,-23.319422,-9.23194,-32.252956,"['Harassment', 'Propaganda', 'Shocking', 'Violence']","['Hate', 'Self-Harm', 'Sexuality']",60,young elderly,female,None,healthy,intellectual disability
0000061,1,29.337458,-8.119684,21.825676,-12.660843,"['Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Self-Harm']",71,young elderly,female,Christianity,healthy,healthy
0000062,3,-8.870902,7.614048,-0.24223112,25.719416,"['Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Self-Harm']",19,adolescents,female,Buddhism,natural disasters,healthy
0000063,4,-68.555885,-0.4765544,-43.5427,-13.11507,"['Hate', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']",['Harassment'],10,children,male,Christianity,depression,healthy
0000064,2,19.417938,5.851437,18.254631,17.706228,"['Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Self-Harm']",23,young adults,female,Christianity,major accidents,hearing impairment
0000065,4,-58.673668,-9.678795,-57.06409,-9.226329,"['Hate', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Propaganda']",11,children,female,None,healthy,hearing impairment
0000066,2,21.50032,32.09915,18.423967,3.7266538,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']",50,middle-aged,male,Islam,healthy,healthy
0000067,2,14.719968,-0.11773921,24.073538,14.973011,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']",28,young adults,female,Buddhism,depression,hearing impairment
0000068,2,22.32109,34.425037,31.2693,1.8059309,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']",53,middle-aged,male,Islam,healthy,visual impairment
0000069,3,-26.028042,10.852958,-25.159084,18.96315,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']",14,adolescents,male,Christianity,healthy,visual impairment
0000070,4,-65.09799,-16.98466,-60.47272,-47.703762,"['Hate', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Propaganda']",2,infants & toddlers,male,None,healthy,hearing impairment
0000071,1,40.781754,-0.9469013,28.761269,-13.532802,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate']",68,young elderly,male,Islam,depression,visual impairment
0000072,2,5.913559,33.259705,20.320015,29.634499,"['Harassment', 'Propaganda', 'Sexuality']","['Hate', 'Self-Harm', 'Shocking', 'Violence']",32,young adults,female,Islam,healthy,intellectual disability
0000073,3,-27.138023,12.810838,-5.9965334,16.857445,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']",19,adolescents,male,Christianity,healthy,hearing impairment
0000074,3,-28.53864,-3.694396,-36.30085,1.7891871,['Sexuality'],"['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Shocking', 'Violence']",14,adolescents,male,None,healthy,visual impairment
0000075,2,5.1569724,32.55153,15.057875,35.58041,"['Harassment', 'Propaganda', 'Sexuality']","['Hate', 'Self-Harm', 'Shocking', 'Violence']",22,young adults,female,Islam,healthy,intellectual disability
0000076,2,29.870329,16.863544,28.579325,-2.3646832,"['Harassment', 'Propaganda', 'Sexuality', 'Violence']","['Hate', 'Self-Harm', 'Shocking']",43,middle-aged,male,Christianity,war,intellectual disability
0000077,2,26.43967,15.669421,23.651752,1.6417851,"['Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Self-Harm']",28,young adults,male,Christianity,major accidents,visual impairment
0000078,1,40.170143,-1.1827967,27.385965,-12.268417,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate']",64,young elderly,male,Islam,anxiety,visual impairment
0000079,3,-20.111362,8.363829,-3.8790326,18.2935,"['Harassment', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Hate', 'Violence']",19,adolescents,male,Christianity,depression,intellectual disability
0000080,3,-20.288298,19.516848,-21.757992,29.48929,"['Harassment', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Hate', 'Violence']",13,adolescents,male,Islam,depression,intellectual disability
0000081,3,-22.489222,7.651214,-18.028027,19.954954,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']",14,adolescents,male,Christianity,depression,visual impairment
0000082,3,-12.199005,1.3233299,-5.9611664,25.938475,"['Harassment', 'Propaganda', 'Sexuality', 'Violence']","['Hate', 'Self-Harm', 'Shocking']",17,adolescents,male,Christianity,sexual assault,healthy
0000083,2,9.379625,37.00343,33.174236,17.147581,"['Propaganda', 'Sexuality', 'Violence']","['Harassment', 'Hate', 'Self-Harm', 'Shocking']",59,middle-aged,female,Islam,war,healthy
0000084,0,-5.3323617,-40.128307,11.725666,-18.944866,[],"['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']",32,young adults,male,None,healthy,visual impairment
0000085,1,15.621127,-34.1169,17.745878,-51.618996,"['Shocking', 'Violence']","['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Sexuality']",79,elderly,male,None,major accidents,visual impairment
0000086,2,18.861975,35.07118,26.769867,11.142919,"['Harassment', 'Propaganda', 'Sexuality']","['Hate', 'Self-Harm', 'Shocking', 'Violence']",35,middle-aged,male,Islam,healthy,intellectual disability
0000087,4,-68.295944,-11.643111,-56.040638,-33.723545,"['Hate', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Propaganda']",8,children,male,None,major accidents,hearing impairment
0000088,1,33.771442,-10.681252,21.209557,-29.69222,"['Harassment', 'Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Hate', 'Self-Harm']",79,elderly,male,Christianity,healthy,intellectual disability
0000089,4,-70.517334,-11.89999,-51.68146,-27.737503,"['Hate', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Propaganda']",8,children,male,None,depression,hearing impairment
0000090,2,34.05675,19.260252,9.820865,-14.979347,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']",40,middle-aged,male,Christianity,healthy,visual impairment
0000091,2,5.5369563,-4.8214893,25.373442,22.374369,"['Harassment', 'Propaganda', 'Sexuality', 'Violence']","['Hate', 'Self-Harm', 'Shocking']",29,young adults,female,Buddhism,sexual assault,healthy
0000092,1,17.501745,-33.330643,14.879103,-52.259502,"['Shocking', 'Violence']","['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Sexuality']",77,elderly,male,None,healthy,hearing impairment
0000093,2,14.20504,9.173314,14.448499,23.671148,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']",23,young adults,female,Christianity,healthy,healthy
0000094,2,38.34698,15.68197,19.120447,5.455939,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']",23,young adults,male,Buddhism,healthy,visual impairment
0000095,1,36.78353,-7.9784813,27.60017,-23.083204,"['Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Self-Harm']",72,young elderly,male,Christianity,war,healthy
0000096,0,-5.383563,-44.616467,16.506662,-23.003716,[],"['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']",47,middle-aged,male,None,healthy,healthy
0000097,3,-7.5982695,25.032375,-19.694038,45.09778,"['Harassment', 'Propaganda', 'Sexuality']","['Hate', 'Self-Harm', 'Shocking', 'Violence']",15,adolescents,female,Islam,healthy,intellectual disability
0000098,2,1.8635952,-5.423305,24.027925,22.665428,"['Harassment', 'Propaganda', 'Sexuality', 'Violence']","['Hate', 'Self-Harm', 'Shocking']",31,young adults,female,Christianity,sexual assault,healthy
0000099,3,-7.0413566,27.567533,-15.615939,47.26508,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']",14,adolescents,female,Islam,depression,healthy
0000100,3,-27.995329,-3.5189252,-35.155827,1.4073812,['Sexuality'],"['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Shocking', 'Violence']",15,adolescents,male,None,healthy,hearing impairment
0000101,4,-69.40175,-7.8616514,-63.140766,-27.539957,"['Hate', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Propaganda']",8,children,male,None,healthy,healthy
0000102,0,-9.088435,-40.194244,17.459566,-19.058422,[],"['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']",51,middle-aged,female,None,healthy,hearing impairment
0000103,4,-71.51714,-12.287935,-54.42482,-31.390411,"['Hate', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Propaganda']",5,children,male,None,depression,healthy
0000104,1,18.681799,-34.690365,14.178498,-46.97586,"['Shocking', 'Violence']","['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Sexuality']",79,elderly,male,None,healthy,healthy
0000105,3,-2.5725908,13.775277,-5.7762113,26.123787,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']",18,adolescents,female,Christianity,anxiety,hearing impairment
0000106,3,-11.272565,1.4995694,-13.454413,21.084854,"['Harassment', 'Propaganda', 'Sexuality', 'Violence']","['Hate', 'Self-Harm', 'Shocking']",15,adolescents,male,Buddhism,sexual assault,intellectual disability
0000107,4,-61.43602,-13.412148,-52.999554,-26.711905,"['Hate', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Propaganda']",10,children,female,None,major accidents,hearing impairment
0000108,2,32.620804,19.871027,28.98912,-11.73516,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']",53,middle-aged,male,Christianity,healthy,visual impairment
0000109,4,-62.40933,5.581022,-47.295277,6.927881,"['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']",[],11,children,male,Islam,anxiety,intellectual disability
0000110,2,2.6370108,-5.61093,28.366314,15.611389,"['Harassment', 'Propaganda', 'Sexuality', 'Violence']","['Hate', 'Self-Harm', 'Shocking']",37,middle-aged,female,Christianity,sexual assault,healthy
0000111,3,-20.018536,21.434635,-19.710295,30.195248,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']",14,adolescents,male,Islam,anxiety,hearing impairment
0000112,2,41.48035,15.709917,31.485703,-14.926652,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']",59,middle-aged,male,Buddhism,healthy,visual impairment
0000113,3,-6.909387,1.4268013,-12.156181,33.354996,"['Harassment', 'Propaganda', 'Sexuality', 'Violence']","['Hate', 'Self-Harm', 'Shocking']",15,adolescents,female,Christianity,sexual assault,hearing impairment
0000114,0,-3.7119632,-24.871056,13.206477,6.134834,"['Self-Harm', 'Shocking']","['Harassment', 'Hate', 'Propaganda', 'Sexuality', 'Violence']",24,young adults,female,None,depression,healthy
0000115,1,18.190353,-29.218433,13.549981,-38.088905,"['Shocking', 'Violence']","['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Sexuality']",72,young elderly,female,None,healthy,hearing impairment
0000116,3,-8.464989,27.327343,-22.996342,45.091957,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']",13,adolescents,female,Islam,anxiety,healthy
0000117,2,24.10526,38.2996,33.44936,1.094465,"['Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Self-Harm']",56,middle-aged,male,Islam,major accidents,healthy
0000118,1,36.518295,-10.37671,25.956627,-26.791407,"['Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Self-Harm']",69,young elderly,male,Christianity,major accidents,visual impairment
0000119,4,-69.34557,2.3931854,-46.46792,-4.7809324,"['Hate', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']",['Harassment'],12,children,male,Buddhism,healthy,visual impairment
0000120,3,-6.9094815,10.659925,-20.27469,30.072454,"['Harassment', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Hate', 'Violence']",14,adolescents,female,Buddhism,anxiety,intellectual disability
0000121,1,18.870752,-25.909136,14.880695,-44.570343,"['Shocking', 'Violence']","['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Sexuality']",82,elderly,female,None,natural disasters,visual impairment
0000122,3,-7.210712,29.01973,-13.448619,43.40061,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']",15,adolescents,female,Islam,depression,visual impairment
0000123,2,39.07136,11.426322,31.23392,-3.5343037,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']",36,middle-aged,male,Buddhism,depression,hearing impairment
0000124,3,-5.207446,29.085304,0.5708233,39.397503,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']",19,adolescents,female,Islam,depression,hearing impairment
0000125,2,-0.030615827,30.193344,-1.4581186,29.11193,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']",20,young adults,female,Islam,depression,healthy
0000126,3,-16.294474,8.729953,0.7362516,11.209419,"['Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Self-Harm']",19,adolescents,male,Buddhism,natural disasters,visual impairment
0000127,2,8.828151,36.021564,26.88151,34.69188,"['Propaganda', 'Sexuality', 'Violence']","['Harassment', 'Hate', 'Self-Harm', 'Shocking']",28,young adults,female,Islam,war,healthy
0000128,2,11.426497,6.7687645,20.212023,18.003126,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']",28,young adults,female,Buddhism,healthy,healthy
0000129,4,-55.65476,0.3278997,-44.81463,9.970033,"['Hate', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']",['Harassment'],12,children,female,Christianity,natural disasters,healthy
0000130,2,36.80149,14.782051,20.436762,5.8390293,"['Harassment', 'Propaganda', 'Sexuality']","['Hate', 'Self-Harm', 'Shocking', 'Violence']",28,young adults,male,Buddhism,healthy,intellectual disability
0000131,0,-4.2815247,-41.624023,18.114344,-28.68563,[],"['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']",46,middle-aged,male,None,healthy,hearing impairment
0000132,1,18.7537,-34.355076,11.713604,-49.278423,"['Shocking', 'Violence']","['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Sexuality']",82,elderly,male,None,healthy,healthy
0000133,4,-67.47135,2.9015744,-42.213856,-2.7180474,"['Hate', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']",['Harassment'],11,children,male,Christianity,depression,visual impairment
